Headline,Date,Author,Vertical,Description
"Delhi boy scores perfect 100 in JEE-Mains, twin brother gets 99.93","Jan 19, 2020",Reporter,DELHI,NEW DELHI: Delhi boy Nishant Agarwal who scored a perfect 100 in Joint Entrance Exam (JEE) Mains shared his success with his twin…
China reports 17 new cases of mysterious SARS-like virus,"Jan 19, 2020",Reporter,WORLD,"BEIJING: China reported 17 new cases of the mysterious SARS-like virus on Sunday, including three in a severe condition,…"
"HDFC Bank Q3 net profit rises 33% to Rs 7,417 crore","Jan 19, 2020",Reporter,BUSINESS,"MUMBAI: India’s leading private lender HDFC Bank on Saturday reported 32.8 per cent growth in net profit at Rs 7,416.5 crore for…"
Finance Ministry and exporters spar over GST refunds,"Jan 19, 2020",Reporter,BUSINESS,"NEW DELHI:  Small businesses, mainly exporters, are at loggerheads with Finance Ministry over the input tax credit refunds. While…"
Kalyan Jewellers shimmers with robust double-digit growth in Q3,"Jan 19, 2020",Reporter,BUSINESS,"NEW DELHI:  Notwithstanding the ongoing economic slowdown, Kalyan Jewellers, the country’s largest jewellery brand, has seen a…"
MG Will Showcase A Total Of 14 Models At The 2020 Auto Expo,"Jan 19, 2020",Reporter,AUTOMOTIVE,MG Motor India has announced today that they will be showcasing the future of mobility at the upcoming 2020 Auto Expo. The company…
Maruti Suzuki Eeco BS-VI Launched In India: Prices Start At Rs 3.81 Lakh,"Jan 19, 2020",Reporter,AUTOMOTIVE,"Maruti Suzuki has launched the BS6-compliant Eeco in the Indian market. The Maruti Suzuki Eeco BS6 is priced at Rs 3.81 lakh,…"
Tenda AC8 1200 Dual-Band Gigabit Wireless Router Review,"Jan 19, 2020",Reporter,TECHNOLOGY,"Tenda, a Shenzen based computer accessories company has launched a plethora of internet routers in the last few years. Now, the…"
Redmi Smartphones Offers And Discounts During Amazon Great Indian Sale 2020,"Jan 19, 2020",Reporter,TECHNOLOGY,"The Amazon Great Indian Sale is now live and will go on until January 22. During this sale, the e-commerce portal is giving…"
Studies Show Cabbage Can Reduce The Risk Of Certain Cancers,"Jan 19, 2020",Reporter,LIFESTYLE,"Cabbage, the humble vegetable is quite popular around the world due to its versatility that makes its way into cooked dishes,…"
Sarileru Neekevvaru Day 8 Box Office Collections,"Jan 19, 2020",Reporter,ENTERTAINMENT,Sarileru Neekevvaru directed by Anil Ravipudi has turned out to be a super hit as expected. The film has seen incredible…
Ala Vaikunthapuramloo Day 7 Box Office Collection,"Jan 19, 2020",Reporter,ENTERTAINMENT,Fans have declared Ala Vaikunthapuramloo a blockbuster by supporting the movie in theatres for the past one week. The film has…
Tell me if view on Savarkar is yours or that of Shiv Sena,"Jan 19, 2020",Reporter,DELHI,"New Delhi, Jan 19: Maharashtra PWD minister and senior Congress leader Ashok Chavan on Saturday sought to know whether Shiv Sena…"
